control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,acelga,achiote,agapando,agave,aguacate,ajo,ajonjoli,albahaca,alcatraz,alfalfa,almacigo,alstroemer,anona,anthurium,arbol_hule,arroz,astronomic,avena,azucena_am,bambu,belen,berenjena,berro,betabel,brocoli,bugambilia,bule_morro,cacahuate,cacao,cacao_vola,cacate,cafe,cafe_cimar,calabacita,calabaza,camote,canela,cana_azuca,cana_silve,caramicua,carrizo,castana,cebolla,cebollin,chapaya,chayote,chicharo,chicozapot,chilca,chile,chipile,cilantro,cipres_pir,ciruela,clavel,coco_palma,col,coliflor,colinabo,corozo,crisantemo,dalia,durazno,ejote,escobillo,espinaca,estate,estevia,estrella,flame_flow,flor_china,flor_bolit,flor_cuare,flor_milpa,flor_sjuan,flor_galli,flor_hawai,floricult,fresa,frijol,frijol_ter,frijoli_mo,frijolon,garambullo,garbanzo,gardenia,garden_mex,geranio,gladiola,granadilla,guanabana,guayaba,guine_prie,haba,heliotropo,hierba_san,hierbabuen,hongo_seta,hortalizas,jaca,jamaica,jengibre,jicama,jitomate,jobo,lechuga,lima,limon,limonaria,litchi,maca_plant,madr_cacao,maguey,maiz,makal,mamey,mandarina,mangle_neg,mango,mangostan,manzana,manzanilla,margarita,melon,monte_blan,mora,moringa,mostaza,mota_obisp,nance_rojo,nanche,naranja,nardo,nochebuena,nogal_nuez,nopal,nube,oregano,ornamental,orquidea,pacaya,palma_arec,palma_came,palma_acei,palma_real,papa,papa_agua,papaya,pasiflora,pasto_espa,pasto_list,pasto_mond,pasto_cult,pepino,pera,perejil,pimienta,pcipres_it,pina,platano,polar,rabano,raiz_zactn,rambutan,repol_chin,rosa,sandia,solidago,sorgo,soya,tabaco,tamarindo,te_limon,tejocote,tercip_orq,tomat_arbo,tomat_casc,tomat_rojo,tomatillo,tomillo,trigo,tulipan,verdolaga,verdura,yuca,yuca_ornam,zacate,zanahoria,zapote,zarzamora,zempoalxoc
07038001-4003,7,Chiapas,38,Huixtán,001-4,3,95,97.7103,038_001-4_003,4478.90210847,976421.018582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07061012-0008,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,8,45,684.279,061_012-0_008,16310.6455604,6962468.82177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07119002-9001,7,Chiapas,119,Santiago el Pinar,002-9,1,4,330.248,119_002-9_001,8566.07515615,3293367.37495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07061003-1013,7,Chiapas,61,Ocozocoautla de Espinosa,003-1,13,168,1435.2095,061_003-1_013,16557.5492382,14563233.6653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07005005-1013,7,Chiapas,5,Amatán,005-1,13,57,266.1825,005_005-1_013,7552.33071585,2657793.96841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07019013-1014,7,Chiapas,19,Comitán de Domínguez,013-1,14,233,131.1997,019_013-1_014,4576.48691943,1310060.69882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07052040-3007,7,Chiapas,52,Las Margaritas,040-3,7,44,43.8944,052_040-3_007,5393.60647339,436441.183543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07027005-9007,7,Chiapas,27,Chiapa de Corzo,005-9,7,62,118.0668,027_005-9_007,4636.11560278,1330208.77124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07046012-4004,7,Chiapas,46,Jiquipilas,012-4,4,1,497.179,046_012-4_004,12075.8053996,4948927.02111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07031013-6005,7,Chiapas,31,Chilón,013-6,5,65,197.7854,031_013-6_005,7555.59539814,1973655.54138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
