control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07108009-7025,7,Chiapas,108,Villaflores,009-7,25,140,445.9879,108_009-7_025,9539.79419594,4446610.33537,108_009-7_025,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07071002-3018,7,Chiapas,71,Villa Comaltitlán,002-3,18,56,501.7348,071_002-3_018,9691.01682211,5379479.95414,071_002-3_018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
07078011-3008,7,Chiapas,78,San Cristóbal de las Casas,011-3,8,2,1080.348,078_011-3_008,20244.8273702,10761312.7936,078_011-3_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07028002-2001,7,Chiapas,28,Chiapilla,002-2,1,1144,2332.6384,028_002-2_001,37533.0665468,24413132.1723,028_002-2_001,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07017017-5003,7,Chiapas,17,Cintalapa,017-5,3,139,4607.4206,017_017-5_003,32138.2272684,45914299.7314,017_017-5_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
07047003-2024,7,Chiapas,47,Jitotol,003-2,24,20,26.6125,047_003-2_024,2321.36335615,268167.448921,047_003-2_024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5
07092016-5003,7,Chiapas,92,Tecpatán,016-5,3,39,649.8918,092_016-5_003,12941.0348847,6485906.27821,092_016-5_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108009-7004,7,Chiapas,108,Villaflores,009-7,4,170,824.3238,108_009-7_004,13983.1322024,8204161.28768,108_009-7_004,,,,,,,,,,,,,,,,,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
07072003-5008,7,Chiapas,72,Pueblo Nuevo Solistahuacán,003-5,8,534,935.6201,072_003-5_008,16031.3067338,9461237.5628,072_003-5_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07041006-2003,7,Chiapas,41,La Independencia,006-2,3,166,1145.815,041_006-2_003,15131.938836,11398990.5118,041_006-2_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
