control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07083006-2014,7,Chiapas,83,Socoltenango,006-2,14,3,2031.1118,083_006-2_014,37199.8943382,20181776.6351,083_006-2_014,,,,2,,,,,,,,2
07028002-2001,7,Chiapas,28,Chiapilla,002-2,1,1144,2332.6384,028_002-2_001,37533.0665468,24413132.1723,028_002-2_001,,,,295,,,,,,,,295
07107012-1011,7,Chiapas,107,Villa Corzo,012-1,11,391,3253.8556,107_012-1_011,35021.1114192,32867029.5028,107_012-1_011,,,5,279,,,,,,,4,288
07052025-9015,7,Chiapas,52,Las Margaritas,025-9,15,193,138.7477,052_025-9_015,5269.82988687,1380133.75057,052_025-9_015,,,1,,,,,,,,,1
07083008-1001,7,Chiapas,83,Socoltenango,008-1,1,3,14989.4472,083_008-1_001,115921.053291,148892925.989,083_008-1_001,,,,1,,,,,,,,1
07065022-3015,7,Chiapas,65,Palenque,022-3,15,1,112.3347,065_022-3_015,4762.33775029,1122673.82299,065_022-3_015,,,,1,,,,,,,,1
07071003-8033,7,Chiapas,71,Villa Comaltitlán,003-8,33,7,16.4887,071_003-8_033,1967.94529082,163163.937385,071_003-8_033,,,,3,,,,,,,,3
07003005-7016,7,Chiapas,3,Acapetahua,005-7,16,40,5583.712,003_005-7_016,70537.9784559,55251644.469,003_005-7_016,,,1,1,,,,,,,,2
07020014-7017,7,Chiapas,20,La Concordia,014-7,17,2,84.115,020_014-7_017,3839.04563684,835150.801621,020_014-7_017,,,,1,,,,,,,,1
07013002-A013,7,Chiapas,13,Bochil,002-A,13,6,111.2481,013_002-A_013,4908.01835978,1109826.09757,013_002-A_013,,,,1,,,,,,,,1
07092012-7001,7,Chiapas,92,Tecpatán,012-7,1,49,1234.1781,092_012-7_001,76463.1115129,12320986.2086,092_012-7_001,,,,21,,,,,,1,,22
07061012-0005,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,5,5,24.1477,061_012-0_005,2224.03306202,240803.656597,061_012-0_005,,,,5,,,,,,,,5
07077006-5016,7,Chiapas,77,Salto de Agua,006-5,16,27,49.3722,077_006-5_016,2904.41232929,493368.471172,077_006-5_016,,,,4,,,,,,,,4
07092003-8039,7,Chiapas,92,Tecpatán,003-8,39,8,40.1013,092_003-8_039,2778.70873031,400480.568737,092_003-8_039,,,1,4,,,,,,,,5
07072002-0013,7,Chiapas,72,Pueblo Nuevo Solistahuacán,002-0,13,60,154.776,072_002-0_013,5732.01959454,1544956.45361,072_002-0_013,,,16,,,,,,,,,16
07077002-7004,7,Chiapas,77,Salto de Agua,002-7,4,4,503.4518,077_002-7_004,9921.36627656,5033482.14253,077_002-7_004,,,,4,,,,,,,,4
07054003-7008,7,Chiapas,54,Mazatán,003-7,8,15,100.8997,054_003-7_008,5406.01940533,999908.407331,054_003-7_008,,,,2,,,,,,,,2
07065030-8024,7,Chiapas,65,Palenque,030-8,24,6,67.086,065_030-8_024,5062.36068001,669786.297197,065_030-8_024,,,1,2,,,,,,,,3
07044003-0004,7,Chiapas,44,Ixtapa,003-0,4,577,3191.5109,044_003-0_004,41253.8928659,32468249.2346,044_003-0_004,,,,33,,,,,,,,33
07097008-7015,7,Chiapas,97,Tonalá,008-7,15,1,631.2753,097_008-7_015,13273.5630982,6273541.52695,097_008-7_015,,,,1,,,,,,,,1
07099014-7017,7,Chiapas,99,La Trinitaria,014-7,17,39,131.9136,099_014-7_017,6860.50035411,1310439.75448,099_014-7_017,,,,7,,,,,,,,7
07048007-8003,7,Chiapas,48,Juárez,007-8,3,19,43.1012,048_007-8_003,2982.36749103,430914.900091,048_007-8_003,,,,7,,,,,,,,7
07059067-3001,7,Chiapas,59,Ocosingo,067-3,1,3,7481.2671,059_067-3_001,49677.3293338,74606160.5635,059_067-3_001,,,,3,,,,,,,,3
07107013-6003,7,Chiapas,107,Villa Corzo,013-6,3,168,1293.7324,107_013-6_003,29366.0344033,12858498.2827,107_013-6_003,,,,22,,,,,,,,22
07034004-9007,7,Chiapas,34,Frontera Comalapa,004-9,7,34,67.0122,034_004-9_007,3810.80383615,671486.430776,034_004-9_007,,,,2,,,,,,,,2
