CONTROL,TERRENOS,SUP_TOTAL,SUMA_TOTAL,sup_cal_ha,sup_tot_ch,diferencia,GRIDCODE,cambio_tip,sup_cambio
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,5,Deforestada,100.879
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,37,Conservado,22.244
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,24,Deforestada,40.455
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,36,Deforestada,459.185
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,25,Degradada,240.835
07116008-4007,28,969.5952,89957.849,965.34,90819.402,-4.255,6,Degradada,101.743
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,30,Reforestado,0.04
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,5,Deforestada,154.515
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,37,Conservado,3.965
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,24,Deforestada,602.971
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,36,Deforestada,188.108
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,25,Degradada,701.277
07116008-4004,145,1636.9019,89957.849,1671.801,90819.402,34.899,6,Degradada,20.925
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,30,Reforestado,9.84
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,29,Conservado,60.399
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,37,Conservado,21.205
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,24,Deforestada,107.895
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,36,Deforestada,27.181
07116006-5004,3,470.4783,89957.849,468.567,90819.402,-1.911,25,Degradada,242.047
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,9,Sin cambio,3.588
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,2,Actividad productiva,1.858
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,30,Reforestado,28.94
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,28,Reforestado,0.426
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,29,Conservado,45.962
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,5,Deforestada,23.363
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,35,Transicion,34.45
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,23,Sin cambio,1747.316
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,37,Conservado,186.488
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,4,Actividad productiva,562.64
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,24,Deforestada,1587.208
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,36,Deforestada,1045.053
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,25,Degradada,1554.009
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,6,Degradada,1.389
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,17,Transicion,0.923
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,16,Sin cambio,0.439
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,19,Degradada,0.036
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,39,Transicion,32.578
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,26,Degradada,35.37
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,42,Sin cambio,70.833
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,15,Transicion,0.051
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,40,Deforestada,0.2
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,22,Actividad productiva,0.04
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,1,Sin cambio,132.754
07116009-9001,243,7110.8516,89957.849,7099.845,90819.402,-11.007,14,Transicion,1.135
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,13,Degradada,26.998
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,30,Reforestado,5.522
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,28,Reforestado,0.619
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,29,Conservado,194.679
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,5,Deforestada,250.394
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,35,Transicion,11.989
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,23,Sin cambio,14.242
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,37,Conservado,134.369
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,4,Actividad productiva,37.876
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,24,Deforestada,80.822
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,36,Deforestada,190.602
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,25,Degradada,298.257
07116008-4008,119,2484.0084,89957.849,2472.773,90819.402,-11.235,6,Degradada,1226.11
07116008-4003,286,3910.0298,89957.849,3952.784,90819.402,42.754,30,Reforestado,12.511
07116008-4003,286,3910.0298,89957.849,3952.784,90819.402,42.754,29,Conservado,1183.54
