Etiquetas de fila,Actividad productiva,Conservado,Deforestada,Degradada,Reforestado,Sin cambio,Transicion,Urbanizacion,Total general,% degradado
07116004-6001,412.157,1448.929,2906.273,1313.691,83.595,2822.351,117.258,70.802,9175.056,31.6758066653762
07116005-0003,543.592,1236.103,2672.051,249.375,72.412,1821.35,90.518,0.048,6685.449,39.968160702445
07116005-0004,0,1010.378,460.213,3.133,324.314,454.201,0,0,2252.239,20.4335774311696
07116005-0007,0,1576.714,634.987,1133.681,121.668,0,0,0,3467.05,18.3149074861914
07116006-5004,0,81.604,135.076,242.047,9.84,0,0,0,468.567,28.8274675766753
07116006-5006,803.877,592.9,1299.249,56.841,24.49,1003.297,32.721,32.589,3845.964,33.7821414865038
07116006-5007,0,95.041,73.92,365.55,0,5.48,2.027,0,542.018,13.6379234637964
07116006-5009,0,348.409,42.245,144.653,37.277,92.083,0.397,0,665.064,6.3520202566971
07116007-A001,0,155.732,187.499,0,0.291,39.472,0.08,0,383.074,48.9458955710907
07116007-A002,0,56.142,2.186,0,2.737,238.602,0,0,299.667,0.729476385454521
07116007-A003,0,354.467,1180.616,1100.983,23.641,308.124,1.757,0,2969.588,39.7568955693517
07116007-A004,0,0,83.822,0,0,0,0,0,83.822,100
07116007-A005,0,448.658,602.718,266.461,38.891,248.044,0,0,1604.772,37.5578586864676
07116007-A006,0,270.157,1351.137,206.967,0,0,0,0,1828.261,73.902850851164
07116007-A007,0,75.177,349.022,0,0,0,0,0,424.199,82.2778931586354
07116007-A008,0,268.816,57.016,0,0,12.32,0,0,338.152,16.8610565662779
07116007-A012,0,126.214,56.863,0,0.933,1070.369,12.166,0,1266.545,4.48961544990506
07116008-4001,0,0,588.526,0,0,0,0,0,588.526,100
07116008-4003,2.393,1247.655,1057.168,945.558,12.511,600.409,87.091,0,3952.785,26.7448899952818
07116008-4004,0,3.965,945.594,722.202,0.04,0,0,0,1671.801,56.5613969605234
07116008-4007,0,22.244,600.519,342.578,0,0,0,0,965.341,62.2079658897737
07116008-4008,37.876,329.048,521.818,1551.365,6.141,14.242,11.989,0,2472.479,21.1050528639475
07116008-4009,13.536,489.222,601.426,756.516,35.77,1274.015,30.737,20.78,3222.002,18.6662205672126
07116008-4010,0,0,0,160.084,0,0,0,0,160.084,0
07116009-9001,564.538,232.45,2655.824,1590.804,29.366,1954.93,69.137,0,7097.049,37.4215254819292
07116009-9002,16.39,1500.474,78.019,7.319,16.532,832.864,0.199,11.95,2463.747,3.16668066972786
07116010-1006,18.966,1867.191,525.492,712.498,222.658,963.449,51.528,0,4361.782,12.0476447470323
07116010-1007,0,221.998,68.894,902.282,89.003,0,0,0,1282.177,5.37320510350755
07116010-1012,0,176.998,15.553,109.433,23.315,0,0,0,325.299,4.78113981291058
07116010-1014,0,185.407,196.097,231.515,31.435,0,0,0,644.454,30.4283936479563
07116011-6001,125.585,1163.738,675.816,226.311,73.178,370.613,29.471,0,2664.712,25.3616901188571
07116011-6005,0,224.087,41.211,9.15,0.25,0,0,0,274.698,15.0022934276915
07116011-6006,0,85.382,23.804,0.079,6.359,0,0,0,115.624,20.5874212966166
07116011-6007,95.353,5.732,629.37,4.559,0,917.547,86.685,0,1739.246,36.1863704156859
07116011-6008,30.236,619.856,535.23,21.676,178.388,342.622,52.444,0,1780.452,30.0614675374568
07116011-6009,0,2882.994,96.665,1152.063,33.313,659.491,144.45,0,4968.976,1.94537063572052
07116011-6010,0,184.234,0,0,0,0,0,0,184.234,0
07116011-6011,0,105.682,0,0,5.26,0,0,0,110.942,0
07116011-6012,58.692,1320.186,88.6,717.583,73.092,1682.506,820.257,34.881,4795.797,1.84745100762188
07116011-6013,10.424,0.785,0,34.792,0,187.174,0,0,233.175,0
07116012-0001,0,152.776,614.963,255.25,0,0,0,0,1022.989,60.1143316301544
07116012-0002,0,23.141,769.159,22.345,0,0,0,0,814.645,94.4164636129848
07116012-0004,4.614,1555.039,2091.545,1425.04,31.046,90.549,7.184,0,5205.017,40.1832501219496
07116012-0005,0,615.506,20.18,638.38,21.803,0,0,0,1295.869,1.5572561732706
