GRIDCODE,CLASS_NAME,CONTROL,HA,TIP_CAMBIO
"2",2 |  1,07116009-9001,1.91400000000,Ganancia de actividad agrícola
"3",3 |  1,07116011-6001,6.02902000000,Ganancia de actividad agrícola
"3",3 |  1,07116011-6001,0.77452200000,Ganancia de actividad agrícola
"3",3 |  1,07116004-6001,9.98986000000,Ganancia de actividad agrícola
"4",4 |  1,07116008-4008,37.33010000000,Ganancia de actividad agrícola
"4",4 |  1,07116008-4008,0.54613300000,Ganancia de actividad agrícola
"4",4 |  1,07116005-0003,50.12100000000,Ganancia de actividad agrícola
"4",4 |  1,07116005-0003,486.29600000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6001,5.63677000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6001,113.51900000000,Ganancia de actividad agrícola
"4",4 |  1,07116004-6001,14.65640000000,Ganancia de actividad agrícola
"4",4 |  1,07116004-6001,9.99377000000,Ganancia de actividad agrícola
"4",4 |  1,07116004-6001,289.22000000000,Ganancia de actividad agrícola
"4",4 |  1,07116004-6001,48.68190000000,Ganancia de actividad agrícola
"4",4 |  1,07116004-6001,0.82201200000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6013,10.88670000000,Ganancia de actividad agrícola
"4",4 |  1,07116008-4003,2.10247000000,Ganancia de actividad agrícola
"4",4 |  1,07116008-4009,1.44888000000,Ganancia de actividad agrícola
"4",4 |  1,07116008-4009,12.08690000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6008,26.01690000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6008,4.21894000000,Ganancia de actividad agrícola
"4",4 |  1,07116009-9001,562.70600000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6007,97.02360000000,Ganancia de actividad agrícola
"4",4 |  1,07116012-0004,4.61405000000,Ganancia de actividad agrícola
"4",4 |  1,07116010-1006,17.52250000000,Ganancia de actividad agrícola
"4",4 |  1,07116006-5006,804.93600000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6012,7.18925000000,Ganancia de actividad agrícola
"4",4 |  1,07116011-6012,3.31911000000,Ganancia de actividad agrícola
"21",1 |  4,07116011-6012,48.46360000000,Ganancia de actividad agrícola
"22",3 |  4,07116005-0003,2.39351000000,Ganancia de actividad agrícola
"22",3 |  4,07116005-0003,2.06045000000,Ganancia de actividad agrícola
"22",3 |  4,07116005-0003,0.58496000000,Ganancia de actividad agrícola
