CONTROL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_AGEB,CVE_MZA,TERRENOS,SUP_TOTAL,sup_cal_ha,diferencia,SUMA_TOTAL,sup_tot_ch,super_calc_m,OBJECTID,sup_selva_S3,sup_cal__1,sup_calc_m,sup_cal_ma,sup_selvaS6,sup_cal__12,sup_calc,S6-S3,S6-S3 TOTAL
07116008-4007,07,Chiapas,116,Marqués de Comillas,008-4,007,28,969.5952,965.34,-4.255,89957.849,90819.402,9653402.436,114535,965.34,67406.28,674062797.2,90961,481.407,37463.278,374632777.5,-483.933,-29943.002
07116008-4004,07,Chiapas,116,Marqués de Comillas,008-4,004,145,1636.9019,1671.801,34.899,89957.849,90819.402,16718013.359,114535,1671.801,67406.28,674062797.2,90961,191.933,37463.278,374632777.5,-1479.868,-29943.002
07116006-5004,07,Chiapas,116,Marqués de Comillas,006-5,004,3,470.4783,468.567,-1.911,89957.849,90819.402,4685671.296,114535,468.567,67406.28,674062797.2,90961,118.534,37463.278,374632777.5,-350.033,-29943.002
07116009-9001,07,Chiapas,116,Marqués de Comillas,009-9,001,243,7110.8516,7099.845,-11.007,89957.849,90819.402,70998447.037,114535,4471.572,67406.28,674062797.2,90961,1446.891,37463.278,374632777.5,-3024.681,-29943.002
07116008-4008,07,Chiapas,116,Marqués de Comillas,008-4,008,119,2484.0084,2472.773,-11.235,89957.849,90819.402,24727732.108,114535,2408.336,67406.28,674062797.2,90961,538.073,37463.278,374632777.5,-1870.263,-29943.002
07116008-4003,07,Chiapas,116,Marqués de Comillas,008-4,003,286,3910.0298,3952.784,42.754,89957.849,90819.402,39527838.932,114535,3262.334,67406.28,674062797.2,90961,1513.909,37463.278,374632777.5,-1748.425,-29943.002
07116005-0004,07,Chiapas,116,Marqués de Comillas,005-0,004,174,2222.0386,2252.24,30.201,89957.849,90819.402,22522398.812,114535,1783.977,67406.28,674062797.2,90961,1334.725,37463.278,374632777.5,-449.252,-29943.002
07116007-A008,07,Chiapas,116,Marqués de Comillas,007-A,008,28,339.5362,338.222,-1.314,89957.849,90819.402,3382216.589,114535,325.817,67406.28,674062797.2,90961,268.912,37463.278,374632777.5,-56.905,-29943.002
07116007-A005,07,Chiapas,116,Marqués de Comillas,007-A,005,19,1611.7453,1605.217,-6.528,89957.849,90819.402,16052165.321,114535,1333.598,67406.28,674062797.2,90961,719.756,37463.278,374632777.5,-613.842,-29943.002
07116005-0007,07,Chiapas,116,Marqués de Comillas,005-0,007,102,3416.0088,3467.891,51.882,89957.849,90819.402,34678912.877,114535,3467.888,67406.28,674062797.2,90961,1964.452,37463.278,374632777.5,-1503.436,-29943.002
07116011-6013,07,Chiapas,116,Marqués de Comillas,011-6,013,72,234.825,233.628,-1.197,89957.849,90819.402,2336282.6,114535,35.41,67406.28,674062797.2,90961,0.795,37463.278,374632777.5,-34.615,-29943.002
07116009-9002,07,Chiapas,116,Marqués de Comillas,009-9,002,88,2446.0703,2464.882,18.812,89957.849,90819.402,24648818.747,114535,1591.821,67406.28,674062797.2,90961,1517.009,37463.278,374632777.5,-74.8119999999999,-29943.002
