"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"1","07001002-9001","07","Chiapas","001","Acacoyagua","002-9","001","1",1747.303,0,1,0,0,0,0,0,0,1,0,1
"2","07001002-9002","07","Chiapas","001","Acacoyagua","002-9","002","201",1852.513,0,35,8,137,1372.0271,76724134.9808,36.8659303482587,0,0.174129353233831,0.681592039800995,0.855721393034826
"3","07001002-9003","07","Chiapas","001","Acacoyagua","002-9","003","10",278.888,0,1,3,9,250.9992,2762962.69196,27.8888,0,0.1,0.9,1
"4","07001002-9005","07","Chiapas","001","Acacoyagua","002-9","005","206",2651.8942,0,34,10,139,1115.5792,52894901.4358,25.746545631068,0,0.16504854368932,0.674757281553398,0.839805825242719
"5","07001002-9008","07","Chiapas","001","Acacoyagua","002-9","008","14",44.142,0,0,0,0,0,0,0,0,0,0,0
"6","07001002-9009","07","Chiapas","001","Acacoyagua","002-9","009","1",20.407,0,0,0,0,0,0,0,0,0,0,0
"7","07001002-9010","07","Chiapas","001","Acacoyagua","002-9","010","107",577.5344,0,1,20,94,294.8505,11463861.59422,10.7950355140187,0,0.00934579439252336,0.878504672897196,0.88785046728972
"8","07001002-9012","07","Chiapas","001","Acacoyagua","002-9","012","102",342.1463,0,2,24,82,278.9235,6777277.34582,6.70875098039216,0,0.0196078431372549,0.803921568627451,0.823529411764706
"9","07001002-9013","07","Chiapas","001","Acacoyagua","002-9","013","22",526.4666,0,0,13,22,526.4666,5216061.95928,23.9303,0,0,1,1
"10","07001002-9015","07","Chiapas","001","Acacoyagua","002-9","015","182",172.2653,0,1,45,135,120.114,5995599.34188,2.83953791208791,0,0.00549450549450549,0.741758241758242,0.747252747252747
"11","07001002-9017","07","Chiapas","001","Acacoyagua","002-9","017","15",192.6045,0,0,34,15,192.6045,3817863.44808,25.6806,0,0,1,1
"12","07001003-3001","07","Chiapas","001","Acacoyagua","003-3","001","10",1506.543,0,0,1,10,1506.543,14925701.6662,150.6543,0,0,1,1
"13","07001003-3004","07","Chiapas","001","Acacoyagua","003-3","004","13",765.8079,0,0,4,13,765.8079,7707529.39394,58.9083,0,0,1,1
"14","07001003-3008","07","Chiapas","001","Acacoyagua","003-3","008","47",197.1417,0,3,16,35,162.0681,3906265.72078,8.3890085106383,0,0.0638297872340425,0.74468085106383,0.808510638297872
"15","07001003-3009","07","Chiapas","001","Acacoyagua","003-3","009","457",2356.7676,2,25,36,363,1767.1841,96373827.7592,20.6281628008753,0.00437636761487965,0.0547045951859956,0.794310722100656,0.853391684901532
"16","07001003-3010","07","Chiapas","001","Acacoyagua","003-3","010","17",252.344,0,3,20,12,210.7566,4999119.06888,29.6875294117647,0,0.176470588235294,0.705882352941177,0.882352941176471
"17","07001003-3011","07","Chiapas","001","Acacoyagua","003-3","011","3",268.92,0,0,22,2,128.5891,5327591.14736,179.28,0,0,0.666666666666667,0.666666666666667
