"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"8888","07116004-6001","07","Chiapas","116","Marqués de Comillas","004-6","001","315",9070.8535,10,237,4,42,1637.3586,367272770.2412,115.185441269841,0.0317460317460317,0.752380952380952,0.133333333333333,0.917460317460317
"8889","07116005-0003","07","Chiapas","116","Marqués de Comillas","005-0","003","230",6643.5596,1,164,6,21,465.0683,133721015.3818,57.7700834782609,0.00434782608695652,0.71304347826087,0.091304347826087,0.808695652173913
"8890","07116005-0004","07","Chiapas","116","Marqués de Comillas","005-0","004","174",2222.0386,49,76,16,27,254.3953,90089595.1312,51.0813471264368,0.281609195402299,0.436781609195402,0.155172413793103,0.873563218390805
"8891","07116005-0007","07","Chiapas","116","Marqués de Comillas","005-0","007","102",3416.0088,2,67,14,26,349.4015,69357825.9792,66.9805647058824,0.0196078431372549,0.656862745098039,0.254901960784314,0.931372549019608
"8892","07116006-5004","07","Chiapas","116","Marqués de Comillas","006-5","004","3",470.4783,0,0,4,3,470.4783,4685671.32338,156.8261,0,0,1,1
"8893","07116006-5006","07","Chiapas","116","Marqués de Comillas","006-5","006","183",3802.8789,9,63,24,79,1548.673,153838672.428,83.1230360655738,0.0491803278688525,0.344262295081967,0.431693989071038,0.825136612021858
"8894","07116006-5007","07","Chiapas","116","Marqués de Comillas","006-5","007","2",544.2262,0,0,0,0,0,0,0,0,0,0,0
"8895","07116006-5009","07","Chiapas","116","Marqués de Comillas","006-5","009","4",667.6872,0,2,0,0,0,0,0,0,0.5,0,0.5
"8896","07116007-A001","07","Chiapas","116","Marqués de Comillas","007-A","001","17",384.5981,0,2,1,2,32.952,3830737.17245,22.6234176470588,0,0.117647058823529,0.117647058823529,0.235294117647059
"8897","07116007-A002","07","Chiapas","116","Marqués de Comillas","007-A","002","8",300.856,0,2,2,3,112.821,2996667.96634,37.607,0,0.25,0.375,0.625
"8898","07116007-A003","07","Chiapas","116","Marqués de Comillas","007-A","003","163",2981.8731,0,19,9,49,896.3913,89087635.8435,54.8811,0,0.116564417177914,0.300613496932515,0.417177914110429
"8899","07116007-A004","07","Chiapas","116","Marqués de Comillas","007-A","004","1",84.1712,0,0,4,1,84.1712,838224.932195,84.1712,0,0,1,1
"8900","07116007-A005","07","Chiapas","116","Marqués de Comillas","007-A","005","19",1611.7453,0,1,5,18,1526.9166,16052165.5098,84.8287,0,0.0526315789473684,0.947368421052632,1
"8901","07116007-A006","07","Chiapas","116","Marqués de Comillas","007-A","006","15",1836.321,0,0,6,15,1836.321,18285146.5451,122.4214,0,0,1,1
"8902","07116007-A007","07","Chiapas","116","Marqués de Comillas","007-A","007","1",427.1475,0,0,0,0,0,0,0,0,0,0,0
"8903","07116007-A008","07","Chiapas","116","Marqués de Comillas","007-A","008","28",339.5362,0,0,8,7,84.298,3382216.5843,12.1262928571429,0,0,0.25,0.25
"8904","07116007-A012","07","Chiapas","116","Marqués de Comillas","007-A","012","51",1217.1624,0,23,24,9,177.1915,25340378.4416,47.7318588235294,0,0.450980392156863,0.176470588235294,0.627450980392157
"8905","07116008-4001","07","Chiapas","116","Marqués de Comillas","008-4","001","4",591.022,0,0,1,2,295.511,5885266.14998,147.7555,0,0,0.5,0.5
"8906","07116008-4003","07","Chiapas","116","Marqués de Comillas","008-4","003","286",3910.0298,1,97,9,110,1186.3489,118583516.5128,41.0142986013986,0.0034965034965035,0.339160839160839,0.384615384615385,0.727272727272727
"8907","07116008-4004","07","Chiapas","116","Marqués de Comillas","008-4","004","145",1636.9019,0,57,16,56,550.222,66872053.4436,45.1559144827586,0,0.393103448275862,0.386206896551724,0.779310344827586
"8908","07116008-4007","07","Chiapas","116","Marqués de Comillas","008-4","007","28",969.5952,0,0,7,28,969.5952,9653402.21294,34.6284,0,0,1,1
"8909","07116008-4008","07","Chiapas","116","Marqués de Comillas","008-4","008","119",2484.0084,0,21,16,40,842.34,49455464.6816,41.7480403361345,0,0.176470588235294,0.336134453781513,0.512605042016807
"8910","07116008-4009","07","Chiapas","116","Marqués de Comillas","008-4","009","482",3181.2264,0,150,27,196,1237.0237,96660055.8003,19.8001643153527,0,0.311203319502075,0.406639004149378,0.717842323651452
"8911","07116008-4010","07","Chiapas","116","Marqués de Comillas","008-4","010","26",160.8464,0,0,10,13,80.4232,1601013.64943,6.1864,0,0,0.5,0.5
